Timestamp,Age,Country,City,Sex,How do you commute? Check all that apply,How long is your commute?,How much of your time at work is spent sitting?,How satisfied are you with your quality of sleep?,In which position do you normally sleep?,How would you rate your level of physical activity?,"Do you use a fitness tracking device? (Fitbit, Apple Watch, Pebble, etc)",Please rate your general posture.,Are you concerned are you about your posture?,Do you have frequent back pain?,How severe is the pain? (leave blank if not applicable),Where do you experience the pain?,When do you experience the pain? Check all that apply.,If you have sought medical treatment for the pain please check all that apply.,What do you like least about finding back pain relief?
2019/10/14 12:01:24 PM EST,22,United States,Lynchburg,Male,Drive a car,10 - 29 minutes,< 25%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While standing;While moving;While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/14 9:28:10 PM EST,24,United States,Saint Louis,Male,Walk,10 - 29 minutes,75% - 100%,Satisfied,On your stomach,Athletic (daily exercise),No,3,"Probably, but I likely wouldn't do anything about it.",4,3,Upper back / shoulders,While sedentary;While sleeping,"Taken ""over the counter"" pain medication;Used CBD products",Lack of access to cost effective treatment
2019/10/15 5:51:26 AM EST,20,Spain,Madrid,Female,Walk;Use public transportation,30 - 45 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,No,2,2,Upper back / shoulders,While moving;While sedentary,Not Applicable,I havenÃÂ´t sought back pain relief
2019/10/15 9:24:55 AM EST,26,USA,Toledo,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,2,2,Upper back / shoulders,While standing;While sedentary,Not Applicable,Unsure what to do or where to begin
2019/10/15 9:33:24 AM EST,57,USA,Palos Verdes Estates,Male,Drive a car,10 - 29 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,3,2,Lower back,While standing,Used homeopathic remedies,Doing frequent exercises / stretches
2019/10/15 9:35:49 AM EST,29,USA,Fort Myers,Female,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,5,5,Lower back,While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/15 9:44:38 AM EST,30,United States,,Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your back,Minimal (walking to and from the car/bus each day),Yes,3,Yes,4,3,Upper back / shoulders;Base of the neck;Lower back,While moving;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Lack of professional knowledge
2019/10/15 9:59:20 AM EST,56,usa,,Male,Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,No,3,3,Lower back,While standing,Visited a physician or doctor,Lack of access to cost effective treatment
2019/10/15 10:22:03 AM EST,21,United States,Southfield,Female,Walk;Bike,< 10 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,2,2,Upper back / shoulders;Lower back,While standing;While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/15 10:36:06 AM EST,48,United States,Fort Myers,Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,3,2,Upper back / shoulders;Base of the neck,While standing;While sedentary,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,"There is virtually no treatment that corrects the root cause and offers lasting, sustainable solution "
2019/10/15 11:20:39 AM EST,23,US,Grand Rapids,Female,Drive a car,< 10 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,"Probably, but I likely wouldn't do anything about it.",3,3,Upper back / shoulders,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/15 11:22:41 AM EST,23,United States of America,Abilene,Female,Drive a car,< 10 minutes,75% - 100%,Very dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,2,Upper back / shoulders;Base of the neck,While standing;While sedentary,Visited a chiropractor,Lack of access to cost effective treatment
2019/10/15 12:06:45 PM EST,60,USA,El Paso,Female,Drive a car,30 - 45 minutes,< 25%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/15 12:33:05 PM EST,21,United States,Poughkeepsie,Female,Drive a car,30 - 45 minutes,50% - 75%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,4,Lower back,While sedentary,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Used CBD products,Doing frequent exercises / stretches
2019/10/15 2:45:44 PM EST,60,USA,Turbotville,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,4,Yes,2,2,Lower back;Base of the neck,Not Applicable,"Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/15 4:58:20 PM EST,61,United States,Clinton,Female,Drive a car,10 - 29 minutes,75% - 100%,Very satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,2,2,Upper back / shoulders,While moving;While sedentary;While sleeping,Visited a physician or doctor;Used homeopathic remedies,direction on how to alleviate pain or improve posture in a way that can be incorporated into daily living
2019/10/15 5:41:30 PM EST,22,USA,Kent,Female,Drive a car,30 - 45 minutes,< 25%,Satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,2,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back,While sedentary,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/16 7:44:26 AM EST,46,United States,Yorktown,Male,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Athletic (daily exercise),Yes,4,Yes,1,1,NA,Not Applicable,Not Applicable,NA
2019/10/16 10:04:50 AM EST,26,United States,Washington,Female,Walk,10 - 29 minutes,75% - 100%,Neutral,On your stomach,Minimal (walking to and from the car/bus each day),No,2,No,5,5,Upper back / shoulders,While standing;While sleeping,"Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/17 10:04:21 AM EST,31,USA,Greencastle,Female,Drive a car,< 10 minutes,25% - 50%,Neutral,On your back,Active (some form of exercise 3 - 4 days per week),Yes,4,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication;Used homeopathic remedies",Doing frequent exercises / stretches
2019/10/17 10:05:11 AM EST,34,USA,,Male,Walk,< 10 minutes,25% - 50%,Very satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Lower back,While moving,Not Applicable,
2019/10/17 10:05:46 AM EST,19,USA,Mountaintop,Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary,Visited a physician or doctor,Doing frequent exercises / stretches
2019/10/17 10:06:16 AM EST,61,UNITED STATES,Bowling Green,Female,Drive a car,30 - 45 minutes,25% - 50%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,4,4,Lower back,While standing;While sedentary,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication,Treatment is inconvenient and time consuming
2019/10/17 10:06:26 AM EST,22,United States,Wilkes-Barre,Male,Walk,< 10 minutes,50% - 75%,Very dissatisfied,On your stomach,Athletic (daily exercise),Yes,3,Yes,2,4,Lower back,While moving,Visited a physician or doctor;Visited a chiropractor,Lack of access to cost effective treatment
2019/10/17 10:06:36 AM EST,29,USA,"Montgomery, AL",Male,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,No,1,,NA,Not Applicable,Not Applicable,
2019/10/17 10:07:16 AM EST,22,United States,Palm,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your stomach,Minimal (walking to and from the car/bus each day),Yes,2,Yes,2,1,Lower back;Upper back / shoulders;Base of the neck,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 10:10:09 AM EST,20,United States,Bowling Green,Female,Drive a car,< 10 minutes,75% - 100%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,2,Yes,5,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/17 10:11:12 AM EST,19,United States,Wilkes Barre,Male,Walk,< 10 minutes,25% - 50%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,,Yes,2,1,Lower back,While standing;While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 10:14:07 AM EST,77,USA,"Thousand Oaks, CA",Male,Drive a car,10 - 29 minutes,50% - 75%,Very satisfied,On your side,Very active (some from of exercise 5 days a week),No,4,No,1,,NA,Not Applicable,Not Applicable,
2019/10/17 10:15:26 AM EST,52,United States,River falls,Female,Drive a car,> 45 minutes,< 25%,Satisfied,On your side,Athletic (daily exercise),No,4,Yes,5,3,Lower back,While standing;While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/17 10:15:28 AM EST,53,United States,Graham,Male,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),No,2,Yes,5,3,Lower back,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",Doing frequent exercises / stretches
2019/10/17 10:17:20 AM EST,51,U.S.,Ypsilanti,Female,Drive a car,< 10 minutes,75% - 100%,Very dissatisfied,On your stomach,Minimal (walking to and from the car/bus each day),"Own, but do not use",2,Yes,4,3,Lower back;Upper back / shoulders,While standing;While moving;While sedentary,"Taken ""over the counter"" pain medication",usually ineffective
2019/10/17 10:18:40 AM EST,25,USA,"Mobile, AL",Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,1,"Probably, but I likely wouldn't do anything about it.",2,,Upper back / shoulders,While sedentary,Not Applicable,Remembering to do it.
2019/10/17 10:19:09 AM EST,18,United States,Lewisburg,Male,Walk,< 10 minutes,75% - 100%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,2,"Probably, but I likely wouldn't do anything about it.",2,2,Upper back / shoulders,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/17 10:19:48 AM EST,21,USA,Wilkes-Barre,Female,Walk;Use public transportation,< 10 minutes,25% - 50%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",3,Yes,1,2,Lower back,While standing,Not Applicable,Taking pain relief pills
2019/10/17 10:26:07 AM EST,48,Peru,Arequipa,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,"Probably, but I likely wouldn't do anything about it.",4,4,Base of the neck,While sedentary,"Visited a physician or doctor;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 10:32:44 AM EST,19,United States,Mountain Top,Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary,"Visited a physical therapist;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/17 10:42:36 AM EST,64,United States,HILLSBORO,Male,Bike,< 10 minutes,25% - 50%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,2,Lower back;Upper back / shoulders,While standing;While sedentary,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/17 10:42:45 AM EST,48,United States,Winchester,Female,Drive a car,< 10 minutes,75% - 100%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Taken prescription pain medication;Taken ""over the counter"" pain medication",finding the time to be diligent about truly finding out what is going on and how best to treat it
2019/10/17 10:53:06 AM EST,22,USA,Pensacola,Male,Drive a car,< 10 minutes,75% - 100%,Satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),No,4,No,3,4,Lower back,While moving,Visited a physician or doctor,Lack of access to cost effective treatment
2019/10/17 11:08:14 AM EST,25,,,Female,Walk,< 10 minutes,75% - 100%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,1,,NA,Not Applicable,Not Applicable,Lack of access to cost effective treatment
2019/10/17 11:10:33 AM EST,20,USA,Hanover Twp,Female,Drive a car,10 - 29 minutes,< 25%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Base of the neck,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 11:18:00 AM EST,38,United States,Las Vegas,Female,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,"Probably, but I likely wouldn't do anything about it.",4,3,Lower back,While moving,Not Applicable,Doing frequent exercises / stretches
2019/10/17 11:19:58 AM EST,66,United States,DUBLIN,Female,Walk,< 10 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,4,Yes,4,2,Lower back,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Doing frequent exercises / stretches
2019/10/17 11:36:14 AM EST,68,United States,Sierra Madre,Male,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your side,Very active (some from of exercise 5 days a week),No,3,No,4,3,Lower back,While sedentary,Visited a physician or doctor;Visited a physical therapist;Taken prescription pain medication,Treatment is inconvenient and time consuming
2019/10/17 11:45:32 AM EST,21,United States,Wilkes-Barre,Male,Drive a car,< 10 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",2,"Probably, but I likely wouldn't do anything about it.",5,3,Lower back;Base of the neck,While standing;While moving;While sedentary;While sleeping,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,Lack of access to cost effective treatment
2019/10/17 11:54:51 AM EST,26,USA,Milford,Female,Drive a car,30 - 45 minutes,75% - 100%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,2,2,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/17 12:06:17 PM EST,22,USA,Lewisburg,Male,Walk;Bike,< 10 minutes,75% - 100%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,2,No,1,,NA,,,
2019/10/17 12:08:24 PM EST,21,United States,West Henrietta,Female,Drive a car,< 10 minutes,25% - 50%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,2,1,Upper back / shoulders;Base of the neck,While moving,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/17 12:08:54 PM EST,64,USA,Baltimore,Male,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,3,Lower back,While moving,Not Applicable,for me most times it is associated with the aging process
2019/10/17 12:12:32 PM EST,40,United States,Azusa,Male,Drive a car,< 10 minutes,75% - 100%,Satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,2,2,Lower back;Base of the neck,While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/17 12:13:23 PM EST,20,,,Male,Walk,10 - 29 minutes,50% - 75%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,4,No,2,1,NA,,,
2019/10/17 12:15:56 PM EST,26,United States,Moraga,Male,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,3,2,Upper back / shoulders,While sedentary;While sleeping,"Taken ""over the counter"" pain medication;Used CBD products",Doing frequent exercises / stretches
2019/10/17 12:31:00 PM EST,19,United States,Hanover Township,Female,Drive a car,10 - 29 minutes,25% - 50%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,1,2,Lower back,While sleeping,Not Applicable,Doing frequent exercises / stretches
2019/10/17 12:34:25 PM EST,59,United States,GOSHEN,Male,Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,No,2,2,Upper back / shoulders;Base of the neck,While standing;While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 12:59:58 PM EST,67,United States,Azusa,Female,Drive a car,10 - 29 minutes,75% - 100%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,3,,Lower back,While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 2:17:48 PM EST,54,United States,NEW YORK,Female,Walk,> 45 minutes,50% - 75%,Dissatisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,4,No,5,3,Lower back,Not Applicable,"Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/17 2:18:18 PM EST,23,United States,Yaphank,Female,Drive a car,> 45 minutes,75% - 100%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,4,3,Lower back,While moving,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 2:19:13 PM EST,22,United States,Annandale on Hudson,Male,Walk;Drive a car;Use public transportation,< 10 minutes,75% - 100%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,5,4,Lower back,While standing;While sleeping,Visited a physical therapist;Visited a chiropractor,Doing frequent exercises / stretches
2019/10/17 2:19:15 PM EST,22,United States,Annadale-on-Hudson,Female,Walk,< 10 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,4,3,Lower back;Base of the neck,While standing,"Visited a physician or doctor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 2:19:17 PM EST,22,United States,Chicago,Female,Use public transportation,30 - 45 minutes,75% - 100%,Very satisfied,On your side,Very active (some from of exercise 5 days a week),No,3,"Probably, but I likely wouldn't do anything about it.",1,1,NA,,,
2019/10/17 2:20:09 PM EST,21,,,Female,Walk,< 10 minutes,75% - 100%,Neutral,On your back,Very active (some from of exercise 5 days a week),No,2,Yes,2,2,Lower back;Upper back / shoulders,While moving,Not Applicable,Doing frequent exercises / stretches
2019/10/17 2:20:10 PM EST,22,United States,Folkston,Female,Walk;Drive a car,< 10 minutes,25% - 50%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary,Visited a chiropractor;Not Applicable,Lack of access to cost effective treatment
2019/10/17 2:21:24 PM EST,33,USA,Woodland Hills,Female,Drive a car,10 - 29 minutes,25% - 50%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,3,2,Upper back / shoulders;Base of the neck,While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/17 2:21:27 PM EST,21,United States,Ypsilanti,Female,Walk,< 10 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,2,1,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 2:21:41 PM EST,55,US,"Kansas City, Mo",Female,Drive a car,10 - 29 minutes,50% - 75%,Very satisfied,On your side,Very active (some from of exercise 5 days a week),Yes,4,No,2,2,Upper back / shoulders,While sedentary,Visited a physical therapist,Doing frequent exercises / stretches
2019/10/17 2:23:07 PM EST,36,USA,La Verne,Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/17 2:26:56 PM EST,31,United States,Arlington,Female,Drive a car,< 10 minutes,50% - 75%,Satisfied,On your back,Athletic (daily exercise),Yes,3,No,1,,NA,,,
2019/10/17 2:33:28 PM EST,27,,,Male,Walk;Bike;Drive a car,< 10 minutes,25% - 50%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,1,,Lower back,Not Applicable,Not Applicable,
2019/10/17 2:37:16 PM EST,21,United States,Watsontown,Male,Walk;Drive a car,< 10 minutes,< 25%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,4,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back;Base of the neck,While moving,Not Applicable,Doing frequent exercises / stretches
2019/10/17 2:50:27 PM EST,52,of residence? United States (I am naturalized citizen of the US but I have dual citizenship),Tacoma,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,3,Lower back,While sedentary;While sleeping,Not Applicable,Not applicable (I go to a massage therapist for other issues and it has helped. My insurance covers 95% of that so I am pretty satisfied with that.)
2019/10/17 2:54:07 PM EST,57,United States,Whitewater,Female,Drive a car,10 - 29 minutes,75% - 100%,Very satisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,3,Yes,4,3,Lower back;Base of the neck,While standing;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication;Used CBD products",not having a job that would allow me to move around more
